Kinetic read,A1,B1,C1,D1,E1,F1,G1,H1
0:00:32,0.171,0.133,0.144,0.148,0.155,0.162,0.171,0.197
0:10:32,0.17,0.136,0.152,0.156,0.162,0.169,0.173,0.201
0:20:32,0.176,0.142,0.161,0.167,0.17,0.178,0.176,0.204
0:30:32,0.18,0.149,0.17,0.175,0.177,0.189,0.178,0.204
0:40:32,0.184,0.154,0.179,0.186,0.186,0.198,0.18,0.204
0:50:32,0.189,0.159,0.189,0.197,0.195,0.206,0.183,0.206
1:00:32,0.195,0.163,0.199,0.208,0.205,0.213,0.186,0.208
1:10:32,0.202,0.169,0.209,0.22,0.215,0.222,0.189,0.21
1:20:32,0.207,0.176,0.217,0.231,0.226,0.233,0.191,0.212
1:30:32,0.213,0.183,0.226,0.24,0.236,0.241,0.194,0.214
1:40:32,0.218,0.189,0.233,0.248,0.246,0.249,0.197,0.216
1:50:32,0.223,0.195,0.24,0.257,0.255,0.257,0.199,0.218
2:00:32,0.228,0.201,0.247,0.265,0.267,0.266,0.203,0.22
2:10:32,0.234,0.207,0.253,0.274,0.279,0.275,0.208,0.222
2:20:32,0.242,0.212,0.261,0.282,0.292,0.285,0.213,0.225
2:30:32,0.248,0.219,0.269,0.292,0.305,0.298,0.218,0.23
2:40:32,0.255,0.227,0.279,0.304,0.321,0.312,0.222,0.232
2:50:32,0.263,0.233,0.29,0.319,0.339,0.325,0.226,0.235
3:00:32,0.272,0.239,0.301,0.334,0.354,0.34,0.232,0.239
3:10:32,0.282,0.247,0.314,0.351,0.371,0.357,0.236,0.24
3:20:32,0.291,0.256,0.327,0.366,0.396,0.376,0.241,0.244
3:30:32,0.302,0.263,0.34,0.384,0.415,0.394,0.245,0.248
3:40:32,0.316,0.272,0.355,0.403,0.435,0.411,0.25,0.249
3:50:32,0.327,0.281,0.371,0.424,0.456,0.427,0.255,0.253
4:00:32,0.341,0.291,0.39,0.445,0.477,0.447,0.26,0.255
4:10:32,0.355,0.298,0.412,0.468,0.507,0.465,0.267,0.259
4:20:32,0.37,0.309,0.436,0.5,0.539,0.486,0.272,0.262
4:30:32,0.384,0.319,0.467,0.529,0.565,0.506,0.279,0.268
4:40:32,0.401,0.329,0.501,0.551,0.593,0.537,0.285,0.273
4:50:32,0.417,0.339,0.534,0.581,0.623,0.566,0.292,0.28
5:00:32,0.434,0.35,0.569,0.617,0.651,0.588,0.299,0.285
5:10:32,0.454,0.361,0.604,0.65,0.68,0.619,0.306,0.29
5:20:32,0.479,0.372,0.641,0.684,0.711,0.656,0.314,0.299
5:30:32,0.495,0.386,0.679,0.719,0.739,0.693,0.324,0.304
5:40:32,0.521,0.402,0.716,0.75,0.768,0.737,0.335,0.313
5:50:32,0.547,0.423,0.755,0.783,0.8,0.78,0.374,0.326
6:00:32,0.58,0.456,0.798,0.814,0.84,0.828,0.42,0.352
6:10:32,0.609,0.483,0.84,0.848,0.885,0.872,0.475,0.415
6:20:32,0.636,0.509,0.882,0.881,0.923,0.916,0.507,0.466
6:30:32,0.665,0.54,0.929,0.918,0.961,0.955,0.549,0.5
6:40:32,0.701,0.576,0.973,0.952,1,0.993,0.604,0.533
6:50:32,0.738,0.608,1.015,0.987,1.041,1.032,0.655,0.578
7:00:32,0.772,0.65,1.056,1.021,1.075,1.067,0.729,0.632
7:10:32,0.808,0.689,1.094,1.055,1.113,1.101,0.799,0.685
7:20:32,0.852,0.73,1.134,1.094,1.143,1.132,0.852,0.747
7:30:32,0.904,0.78,1.17,1.131,1.172,1.163,0.906,0.794
7:40:32,0.952,0.837,1.204,1.161,1.199,1.19,0.957,0.841
7:50:32,1,0.893,1.238,1.195,1.229,1.219,1.004,0.897
8:00:32,1.044,0.948,1.271,1.227,1.257,1.245,1.044,0.945
8:10:32,1.086,1,1.301,1.259,1.282,1.269,1.083,0.993
8:20:32,1.128,1.05,1.33,1.289,1.31,1.291,1.12,1.038
8:30:32,1.165,1.098,1.358,1.317,1.332,1.318,1.156,1.08
8:40:32,1.2,1.143,1.383,1.345,1.357,1.336,1.187,1.111
8:50:32,1.237,1.187,1.407,1.371,1.378,1.362,1.219,1.145
9:00:32,1.268,1.224,1.43,1.397,1.401,1.385,1.252,1.177
9:10:32,1.299,1.262,1.452,1.419,1.421,1.406,1.278,1.209
9:20:32,1.329,1.295,1.472,1.443,1.442,1.426,1.305,1.242
9:30:32,1.359,1.329,1.491,1.463,1.459,1.444,1.333,1.277
9:40:32,1.386,1.359,1.508,1.484,1.477,1.463,1.358,1.305
9:50:32,1.412,1.389,1.525,1.502,1.494,1.479,1.382,1.331
10:00:32,1.435,1.414,1.542,1.52,1.51,1.497,1.403,1.357
10:10:32,1.457,1.439,1.556,1.536,1.525,1.513,1.425,1.38
10:20:32,1.478,1.461,1.57,1.552,1.539,1.527,1.442,1.401
10:30:32,1.497,1.485,1.583,1.567,1.551,1.54,1.462,1.421
10:40:32,1.515,1.504,1.595,1.58,1.562,1.554,1.482,1.443
10:50:32,1.533,1.524,1.607,1.593,1.577,1.566,1.5,1.459
11:00:32,1.549,1.542,1.618,1.605,1.588,1.579,1.516,1.474
11:10:32,1.563,1.558,1.628,1.616,1.598,1.589,1.532,1.487
11:20:32,1.576,1.574,1.638,1.627,1.608,1.602,1.546,1.504
11:30:32,1.588,1.588,1.646,1.637,1.618,1.612,1.559,1.516
11:40:32,1.6,1.602,1.654,1.647,1.627,1.622,1.572,1.533
11:50:32,1.611,1.614,1.661,1.655,1.636,1.632,1.586,1.543
12:00:32,1.622,1.627,1.669,1.663,1.645,1.64,1.597,1.556
12:10:32,1.632,1.638,1.676,1.672,1.653,1.648,1.608,1.568
12:20:32,1.641,1.649,1.683,1.679,1.661,1.656,1.619,1.579
12:30:32,1.65,1.658,1.689,1.687,1.668,1.664,1.629,1.591
12:40:32,1.658,1.667,1.696,1.693,1.674,1.671,1.639,1.599
12:50:32,1.666,1.676,1.701,1.7,1.681,1.679,1.65,1.609
13:00:32,1.675,1.683,1.706,1.705,1.686,1.685,1.657,1.62
13:10:32,1.68,1.692,1.712,1.711,1.692,1.692,1.666,1.627
13:20:32,1.687,1.698,1.716,1.716,1.699,1.697,1.672,1.634
13:30:32,1.693,1.705,1.721,1.721,1.704,1.702,1.679,1.642
13:40:32,1.699,1.71,1.725,1.726,1.709,1.708,1.685,1.65
13:50:32,1.705,1.716,1.729,1.73,1.713,1.712,1.691,1.657
14:00:32,1.71,1.722,1.733,1.735,1.718,1.718,1.697,1.661
14:10:32,1.715,1.726,1.737,1.738,1.723,1.722,1.703,1.669
14:20:32,1.72,1.732,1.741,1.742,1.728,1.728,1.708,1.674
14:30:32,1.724,1.737,1.744,1.747,1.731,1.732,1.713,1.68
14:40:32,1.728,1.741,1.747,1.75,1.735,1.736,1.718,1.685
14:50:32,1.732,1.745,1.751,1.754,1.74,1.74,1.722,1.689
15:00:32,1.737,1.749,1.753,1.757,1.744,1.744,1.728,1.694
15:10:32,1.739,1.754,1.756,1.761,1.748,1.748,1.73,1.7
15:20:32,1.743,1.757,1.759,1.763,1.751,1.751,1.735,1.704
15:30:32,1.746,1.76,1.761,1.767,1.755,1.756,1.738,1.709
15:40:32,1.75,1.764,1.763,1.769,1.758,1.759,1.743,1.712
15:50:32,1.754,1.767,1.766,1.772,1.761,1.761,1.746,1.718
16:00:32,1.756,1.771,1.77,1.776,1.765,1.765,1.749,1.722
16:10:32,1.76,1.775,1.771,1.778,1.769,1.768,1.753,1.725
16:20:32,1.762,1.778,1.773,1.78,1.771,1.772,1.757,1.729
16:30:32,1.765,1.78,1.775,1.782,1.774,1.773,1.76,1.73
16:40:32,1.767,1.784,1.778,1.785,1.777,1.776,1.763,1.734
16:50:32,1.77,1.786,1.78,1.786,1.78,1.779,1.765,1.736
17:00:32,1.772,1.789,1.782,1.788,1.783,1.782,1.767,1.738
17:10:32,1.776,1.791,1.783,1.791,1.785,1.784,1.769,1.741
17:20:32,1.778,1.795,1.785,1.791,1.789,1.787,1.772,1.744
17:30:32,1.779,1.798,1.787,1.794,1.791,1.79,1.775,1.746
17:40:32,1.782,1.8,1.789,1.796,1.792,1.792,1.778,1.748
17:50:32,1.785,1.802,1.79,1.798,1.797,1.794,1.779,1.751
18:00:32,1.788,1.804,1.792,1.801,1.799,1.797,1.782,1.751
18:10:32,1.789,1.807,1.793,1.802,1.8,1.799,1.784,1.754
18:20:32,1.791,1.808,1.795,1.805,1.803,1.801,1.786,1.754
18:30:32,1.793,1.81,1.796,1.807,1.805,1.802,1.786,1.756
18:40:32,1.796,1.811,1.799,1.808,1.808,1.805,1.788,1.758
18:50:32,1.797,1.813,1.799,1.81,1.81,1.807,1.791,1.759
